message_uuid,time,tenant,org_id,space_id,app_or_service_id,als_service_id,user,category,format_version,message.uuid,message.user,message.time,message.id,message.success,message.object.type,message.object.id.entity,message.attributes.0.name,message.attributes.0.old,message.attributes.0.new,message.status,message.category,message.tenant,message.object.id.crudType,message.object.id.creationTimestamp,message.object.id.origin,message.object.id.onBehalfOf,message.object.id.correlationId,message.identityProvider,message.object.id.tableName,message.object.id.identityproviderid,message.attributes.1.name,message.attributes.1.new,message.attributes.2.name,message.attributes.2.new,message.attributes.3.name,message.attributes.3.new,message.object.id.id,message.attributes.1.old,message.attributes.3.old,message.attributes.4.name,message.attributes.4.old,message.attributes.4.new,message.attributes.5.name,message.attributes.5.old,message.attributes.5.new,message.attributes.6.name,message.attributes.7.name,message.attributes.8.name,message.attributes.9.name,message.attributes.9.old,message.attributes.9.new,message.attributes.10.name,message.attributes.10.old,message.attributes.10.new,message.attributes.11.name,message.attributes.11.old,message.attributes.11.new,message.attributes.12.name,message.attributes.13.name,message.attributes.13.old,message.attributes.13.new,message.attributes.14.name,message.attributes.14.new,message.attributes.15.name,message.attributes.15.old,message.attributes.15.new,message.attributes.16.name,message.attributes.16.old,message.attributes.16.new,message.attributes.17.name,message.attributes.17.old,message.attributes.17.new,message.attributes.18.name,message.attributes.18.old,message.attributes.18.new,message.attributes.19.name,message.attributes.19.old,message.attributes.19.new,message.object.id.name,message.object.id.configuration,message.object.id.change-summary,message.object.id.micro-service,message.object.id.customer-org,message.object.id.mobile-application,message.object.id.customer-space,message.object.id.mobile-instanceId,message.object.id.client-ip,message.object.id.customer-subaccount,message.app,message.org,message.space,message.object.id.key,message.object.id.targetTenant,message.object.id.message,message.object.id.Global Account GUID,message.object.id.Subscribed TenantID,message.object.id.Subscription Plan,message.object.id.type,message.object.id.description,message.object.id.object_id,message.object.id.action,message.object.id.operationType,message.object.id.loggedBy,message.object.id.ID,message.data_subject.type,message.data_subject.id.tenantId,message.data_subject.id.instanceId,message.data_subject.id.correlationId,message.attributes.2.old,message.attributes.6.old,message.attributes.6.new,message.object.id.tenant_id,message.data_subject.role,message.data_subject.id.id,message.attributes.0.successful
4c51f75f-3a76-4484-914c-ee4eae85b669,2026-07-04T12:20:32.680Z,baae3a89-81f6-4b4a-a216-7cbaedcc401c,919b493d-3272-406b-8409-9e2c37a6e197,84c7ec6d-d9ae-4d14-9ced-2189657fbdd5,undefined,6c410a91-aa3c-4c30-8051-a767925e0de1,basiser@163.com,audit.configuration,,4c51f75f-3a76-4484-914c-ee4eae85b669,basiser@163.com,2026-07-04T12:20:32.680177274Z,603c64a5-c5d4-4de8-919f-f8bd5af43b18,True,UPDATE,com.sap.core.commercial.service.registry.audit.RootSubscritpionCustomAuditingEntityListener$RootSubscriptionAuditLog,com.sap.core.commercial.service.registry.audit.RootSubscritpionCustomAuditingEntityListener$RootSubscriptionAuditLog,,"{""id"":15230925,""propertyDataSet"":[],""internalSubscriptionId"":""sap-identity-services-onboarding!t6878_baae3a89-81f6-4b4a-a216-7cbaedcc401c_sap-identity-services-onboarding!t6878"",""xsuaaSaasApplicationServiceInstanceId"":""8993341c-c7d7-4554-a826-25756b52500e"",""rootIdentifier"":""sap-identity-services-onboarding!t6878"",""appId"":""sap-identity-services-onboarding!t6878"",""appName"":""sap-identity-services-onboarding"",""consumerId"":""baae3a89-81f6-4b4a-a216-7cbaedcc401c"",""subaccountId"":""baae3a89-81f6-4b4a-a216-7cbaedcc401c"",""subscriptionGUID"":""8b97091f-3e40-4bc2-a842-d066528e784f"",""subdomain"":""8b14fc54trial"",""globalAccountId"":""b5bb3c03-f42c-4712-8848-ca0cb3169076"",""code"":""default"",""amount"":1,""state"":""IN_PROCESS"",""origin"":""CONSUMER""}",END,audit.configuration,baae3a89-81f6-4b4a-a216-7cbaedcc401c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c92d0e8c-a0b9-42ec-868e-9112640a29ef,2026-07-04T12:20:32.680Z,baae3a89-81f6-4b4a-a216-7cbaedcc401c,919b493d-3272-406b-8409-9e2c37a6e197,84c7ec6d-d9ae-4d14-9ced-2189657fbdd5,undefined,6c410a91-aa3c-4c30-8051-a767925e0de1,basiser@163.com,audit.configuration,,c92d0e8c-a0b9-42ec-868e-9112640a29ef,basiser@163.com,2026-07-04T12:20:32.680160104Z,4dec5112-21d1-4322-ae39-9d494c2c2ffa,True,CREATE,com.sap.core.commercial.service.registry.audit.RootSubscritpionCustomAuditingEntityListener$RootSubscriptionAuditLog,com.sap.core.commercial.service.registry.audit.RootSubscritpionCustomAuditingEntityListener$RootSubscriptionAuditLog,,"{""id"":15230925,""propertyDataSet"":[],""internalSubscriptionId"":""sap-identity-services-onboarding!t6878_baae3a89-81f6-4b4a-a216-7cbaedcc401c_sap-identity-services-onboarding!t6878"",""xsuaaSaasApplicationServiceInstanceId"":""8993341c-c7d7-4554-a826-25756b52500e"",""rootIdentifier"":""sap-identity-services-onboarding!t6878"",""appId"":""sap-identity-services-onboarding!t6878"",""appName"":""sap-identity-services-onboarding"",""consumerId"":""baae3a89-81f6-4b4a-a216-7cbaedcc401c"",""subaccountId"":""baae3a89-81f6-4b4a-a216-7cbaedcc401c"",""subscriptionGUID"":""8b97091f-3e40-4bc2-a842-d066528e784f"",""subdomain"":""8b14fc54trial"",""globalAccountId"":""b5bb3c03-f42c-4712-8848-ca0cb3169076"",""code"":""default"",""amount"":1,""state"":""IN_PROCESS"",""origin"":""CONSUMER""}",END,audit.configuration,baae3a89-81f6-4b4a-a216-7cbaedcc401c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58665e1e-06af-49fd-b5cb-a42fda786c7e,2026-07-04T12:21:41.274Z,baae3a89-81f6-4b4a-a216-7cbaedcc401c,919b493d-3272-406b-8409-9e2c37a6e197,84c7ec6d-d9ae-4d14-9ced-2189657fbdd5,undefined,6c410a91-aa3c-4c30-8051-a767925e0de1,basiser@163.com,audit.configuration,,58665e1e-06af-49fd-b5cb-a42fda786c7e,basiser@163.com,2026-07-04T12:21:41.274112995Z,9f9b31c5-4601-488d-8a30-0193be1b3579,True,UPDATE,com.sap.core.commercial.service.registry.audit.RootSubscritpionCustomAuditingEntityListener$RootSubscriptionAuditLog,com.sap.core.commercial.service.registry.audit.RootSubscritpionCustomAuditingEntityListener$RootSubscriptionAuditLog,,"{""id"":15230925,""propertyDataSet"":[],""internalSubscriptionId"":""sap-identity-services-onboarding!t6878_baae3a89-81f6-4b4a-a216-7cbaedcc401c_sap-identity-services-onboarding!t6878"",""xsuaaSaasApplicationServiceInstanceId"":""8993341c-c7d7-4554-a826-25756b52500e"",""rootIdentifier"":""sap-identity-services-onboarding!t6878"",""appId"":""sap-identity-services-onboarding!t6878"",""appName"":""sap-identity-services-onboarding"",""consumerId"":""baae3a89-81f6-4b4a-a216-7cbaedcc401c"",""subaccountId"":""baae3a89-81f6-4b4a-a216-7cbaedcc401c"",""subscriptionGUID"":""8b97091f-3e40-4bc2-a842-d066528e784f"",""subdomain"":""8b14fc54trial"",""globalAccountId"":""b5bb3c03-f42c-4712-8848-ca0cb3169076"",""url"":""https://a1au6s3sc.trial-accounts.ondemand.com/admin"",""code"":""default"",""amount"":1,""state"":""IN_PROCESS"",""origin"":""CONSUMER""}",END,audit.configuration,baae3a89-81f6-4b4a-a216-7cbaedcc401c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faa4d209-b3a5-45c9-bada-c07970af11c0,2026-07-04T12:21:41.986Z,baae3a89-81f6-4b4a-a216-7cbaedcc401c,919b493d-3272-406b-8409-9e2c37a6e197,84c7ec6d-d9ae-4d14-9ced-2189657fbdd5,undefined,6c410a91-aa3c-4c30-8051-a767925e0de1,basiser@163.com,audit.configuration,,faa4d209-b3a5-45c9-bada-c07970af11c0,basiser@163.com,2026-07-04T12:21:41.986627752Z,07ef6e76-ad79-4c19-a983-e6ce2de1d0b6,True,UPDATE,com.sap.core.commercial.service.registry.audit.RootSubscritpionCustomAuditingEntityListener$RootSubscriptionAuditLog,com.sap.core.commercial.service.registry.audit.RootSubscritpionCustomAuditingEntityListener$RootSubscriptionAuditLog,,"{""id"":15230925,""propertyDataSet"":[],""internalSubscriptionId"":""sap-identity-services-onboarding!t6878_baae3a89-81f6-4b4a-a216-7cbaedcc401c_sap-identity-services-onboarding!t6878"",""xsuaaSaasApplicationServiceInstanceId"":""8993341c-c7d7-4554-a826-25756b52500e"",""rootIdentifier"":""sap-identity-services-onboarding!t6878"",""appId"":""sap-identity-services-onboarding!t6878"",""appName"":""sap-identity-services-onboarding"",""consumerId"":""baae3a89-81f6-4b4a-a216-7cbaedcc401c"",""subaccountId"":""baae3a89-81f6-4b4a-a216-7cbaedcc401c"",""subscriptionGUID"":""8b97091f-3e40-4bc2-a842-d066528e784f"",""subdomain"":""8b14fc54trial"",""globalAccountId"":""b5bb3c03-f42c-4712-8848-ca0cb3169076"",""url"":""https://a1au6s3sc.trial-accounts.ondemand.com/admin"",""code"":""default"",""amount"":1,""state"":""SUBSCRIBED"",""origin"":""CONSUMER""}",END,audit.configuration,baae3a89-81f6-4b4a-a216-7cbaedcc401c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37f5c916-1f3b-4949-bab7-5684d56b6c2f,2026-07-04T12:26:44.645Z,baae3a89-81f6-4b4a-a216-7cbaedcc401c,b47dad21-08b2-41fd-b49e-133635884836,9af3dfd0-664c-42c6-a56f-f8fbd397e040,e899316c-f09d-4fa2-b48d-62b2808b023c,f4b2723d-1383-4dcc-b53a-621a8dcd3737,<username missing>,audit.configuration,,37f5c916-1f3b-4949-bab7-5684d56b6c2f,<username missing>,2026-07-04T12:26:44.645381Z,5fbe7e3b-7122-448a-ba24-0a0489050d78,True,custom platform idp distribution,,add custom platform idp,,"{""type"":""oidc1.0"",""config"":""{\""emailDomain\"":null,\""additionalConfiguration\"":{\""domain\"":\""a1au6s3sc.trial-accounts.ondemand.com\""},\""providerDescription\"":\""Identity Authentication tenant a1au6s3sc.trial-accounts.ondemand.com used for platform users\"",\""externalGroupsWhitelist\"":[],\""attributeMappings\"":{\""given_name\"":\""first_name\"",\""external_groups\"":[\""scope\""],\""family_name\"":\""last_name\"",\""user_name\"":\""email\"",\""email\"":\""email\""},\""addShadowUserOnLogin\"":true,\""storeCustomAttributes\"":true,\""authUrl\"":\""https://a1au6s3sc.trial-accounts.ondemand.com/oauth2/authorize\"",\""tokenUrl\"":\""https://a1au6s3sc.trial-accounts.ondemand.com/oauth2/token\"",\""tokenKeyUrl\"":\""https://a1au6s3sc.trial-accounts.ondemand.com/oauth2/certs\"",\""tokenKey\"":null,\""userInfoUrl\"":\""https://a1au6s3sc.trial-accounts.ondemand.com/oauth2/userinfo\"",\""logoutUrl\"":\""https://a1au6s3sc.trial-accounts.ondemand.com/oauth2/logout\"",\""linkText\"":\""a1au6s3sc-platform\"",\""showLinkText\"":false,\""clientAuthInBody\"":false,\""skipSslValidation\"":false,\""relyingPartyId\"":\""306ee77d-68d9-4398-ac62-1d07872563f9\"",\""scopes\"":[\""openid\"",\""email\"",\""profile\""],\""issuer\"":\""https://a1au6s3sc.trial-accounts.ondemand.com\"",\""responseType\"":\""code\"",\""userPropagationParameter\"":null,\""pkce\"":true,\""performRpInitiatedLogout\"":true,\""cacheJwks\"":true,\""discoveryUrl\"":null,\""passwordGrantEnabled\"":false,\""setForwardHeader\"":false,\""tokenExchangeEnabled\"":false,\""platformIdp\"":true,\""applicationIdp\"":false,\""originKeyCfuaa\"":\""a1au6s3sc-platform\"",\""iasTenant\"":{},\""neoAuthnWithOidc\"":true}"",""id"":null,""originKey"":""a1au6s3sc-platform"",""name"":""a1au6s3sc.trial-accounts.ondemand.com (platform users)"",""version"":0,""created"":1783168004636,""last_modified"":1783168004636,""active"":true,""identityZoneId"":""baae3a89-81f6-4b4a-a216-7cbaedcc401c"",""aliasId"":null,""aliasZid"":null}",END,audit.configuration,baae3a89-81f6-4b4a-a216-7cbaedcc401c,CREATE,2026-07-04T12:26:44.645381Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5f0d727-7b94-449a-860e-265ff6a20a77,2026-07-04T12:27:18.718Z,baae3a89-81f6-4b4a-a216-7cbaedcc401c,b47dad21-08b2-41fd-b49e-133635884836,9af3dfd0-664c-42c6-a56f-f8fbd397e040,e899316c-f09d-4fa2-b48d-62b2808b023c,f4b2723d-1383-4dcc-b53a-621a8dcd3737,user/sap.default/basiser@163.com,audit.configuration,,d5f0d727-7b94-449a-860e-265ff6a20a77,user/sap.default/basiser@163.com,2026-07-04T12:27:18.718485Z,0bf97e29-752e-492f-810e-2ba6bcb48676,True,token keys,,complete,,"{""accessTokenValidity"":-1,""refreshTokenValidity"":-1,""refreshTokenUnique"":false,""changeMode"":""ADD"",""keyId"":""default-jwt-key-fb33949b60""}",END,audit.configuration,baae3a89-81f6-4b4a-a216-7cbaedcc401c,CREATE,2026-07-04T12:27:18.718485Z,sap.default,user/sap.default/basiser@163.com,63254781-3075-4d8a-42ec-9b8ba6215857,sap.default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d486f9c-c8f8-4c18-8839-3a2b1af9167e,2026-07-04T12:27:18.850Z,baae3a89-81f6-4b4a-a216-7cbaedcc401c,b47dad21-08b2-41fd-b49e-133635884836,9af3dfd0-664c-42c6-a56f-f8fbd397e040,e899316c-f09d-4fa2-b48d-62b2808b023c,f4b2723d-1383-4dcc-b53a-621a8dcd3737,user/sap.default/basiser@163.com,audit.configuration,,8d486f9c-c8f8-4c18-8839-3a2b1af9167e,user/sap.default/basiser@163.com,2026-07-04T12:27:18.850549Z,788a7695-24e7-4cf2-9b15-56fd2ff58160,True,xsidentityproviderid2status,,acknowledged,,false,END,audit.configuration,baae3a89-81f6-4b4a-a216-7cbaedcc401c,CREATE,2026-07-04T12:27:18.850549Z,sap.default,8d8d620a-fd5d-4154-b784-26bf62d12524,63254781-3075-4d8a-42ec-9b8ba6215857,sap.default,xsidentityproviderid2status,cc685d58-3a71-4cf2-ac45-2aed9da5e4f4,description,org.springframework.jdbc.core.SqlParameterValue@496652dd,operation,create,status,succeeded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330666d4-67e8-4abe-9bc5-223487762417,2026-07-04T12:27:18.721Z,baae3a89-81f6-4b4a-a216-7cbaedcc401c,b47dad21-08b2-41fd-b49e-133635884836,9af3dfd0-664c-42c6-a56f-f8fbd397e040,e899316c-f09d-4fa2-b48d-62b2808b023c,f4b2723d-1383-4dcc-b53a-621a8dcd3737,user/sap.default/basiser@163.com,audit.configuration,,330666d4-67e8-4abe-9bc5-223487762417,user/sap.default/basiser@163.com,2026-07-04T12:27:18.721229Z,aa02548d-a15f-4fc5-8c52-97b6f6039d27,True,token keys,,complete,"{""accessTokenValidity"":-1,""refreshTokenValidity"":-1,""jwtRevocable"":false,""refreshTokenUnique"":false,""refreshTokenRotate"":false,""refreshTokenFormat"":""opaque"",""jwtTokenTimestamps"":{""default-jwt-key-fb33949b60"":{""creationTimestamp"":1783167474623,""lastModifiedTimestamp"":1783167563079,""expiresAtTimestamp"":1790943474504}},""activeKeyId"":""default-jwt-key-fb33949b60"",""encrypted"":false,""keys"":{""default-jwt-key-fb33949b60"":{""signingKey"":""\n"",""keyGenerator"":null,""signingCert"":""\n"",""signingAlg"":""RS256""}}}","{""accessTokenValidity"":-1,""refreshTokenValidity"":-1,""jwtRevocable"":false,""refreshTokenUnique"":false,""refreshTokenRotate"":false,""refreshTokenFormat"":""opaque"",""jwtTokenTimestamps"":{""default-jwt-key-fb33949b60"":{""creationTimestamp"":1783167474623,""lastModifiedTimestamp"":1783168038720,""expiresAtTimestamp"":1790943474504}},""activeKeyId"":""default-jwt-key-fb33949b60"",""encrypted"":false,""keys"":{""default-jwt-key-fb33949b60"":{""signingKey"":""\n"",""keyGenerator"":null,""signingCert"":""\n"",""signingAlg"":""RS256""}}}",END,audit.configuration,baae3a89-81f6-4b4a-a216-7cbaedcc401c,UPDATE,2026-07-04T12:27:18.721229Z,sap.default,user/sap.default/basiser@163.com,63254781-3075-4d8a-42ec-9b8ba6215857,sap.default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6daf7d00-df7f-45ac-9170-7c0dc802376f,2026-07-04T12:27:18.838Z,baae3a89-81f6-4b4a-a216-7cbaedcc401c,b47dad21-08b2-41fd-b49e-133635884836,9af3dfd0-664c-42c6-a56f-f8fbd397e040,e899316c-f09d-4fa2-b48d-62b2808b023c,f4b2723d-1383-4dcc-b53a-621a8dcd3737,user/sap.default/basiser@163.com,audit.configuration,,6daf7d00-df7f-45ac-9170-7c0dc802376f,user/sap.default/basiser@163.com,2026-07-04T12:27:18.838573Z,60f83ddd-f994-4209-9f60-59f75c8b69d5,True,xs_tenant,,ias_appid,,58fdcf42-1130-40b3-9e7c-1ee2a9d908b2,END,audit.configuration,baae3a89-81f6-4b4a-a216-7cbaedcc401c,UPDATE,2026-07-04T12:27:18.838573Z,sap.default,8d8d620a-fd5d-4154-b784-26bf62d12524,63254781-3075-4d8a-42ec-9b8ba6215857,sap.default,xs_tenant,,account_type,subaccount,cost_center_id,,description,dev,baae3a89-81f6-4b4a-a216-7cbaedcc401c,subaccount,dev,active,true,true,signing_keys,"[""default-jwt-key-fb33949b60""]","[""default-jwt-key-fb33949b60""]",key_expiry,num_keys,sapManagedType,sapIdServiceTenantAdminUserId,basiser@163.com,basiser@163.com,default_idp,sap.default,sap.default,licenseType,TRIAL,TRIAL,crm_id,tenant_configuration,"{""originalUsername"":true,""treatUsersWithSameEmailAsSameUser"":null,""customEmailDomains"":null,""tenantLimitOverwrites"":null,""partitionedCookies"":true,""preserveUserNameCase"":true,""useSigningCertificates"":true,""cmkEnabled"":false}","{""originalUsername"":true,""treatUsersWithSameEmailAsSameUser"":null,""customEmailDomains"":null,""tenantLimitOverwrites"":null,""partitionedCookies"":true,""preserveUserNameCase"":true,""useSigningCertificates"":true,""cmkEnabled"":false}",ias_tenant,a1au6s3sc.trial-accounts.ondemand.com,subdomain,8b14fc54trial,8b14fc54trial,global_account,b5bb3c03-f42c-4712-8848-ca0cb3169076,b5bb3c03-f42c-4712-8848-ca0cb3169076,iframedomains,,,subaccount_id,baae3a89-81f6-4b4a-a216-7cbaedcc401c,baae3a89-81f6-4b4a-a216-7cbaedcc401c,config,"{""clientSecretPolicy"":{""minLength"":-1,""maxLength"":-1,""requireUpperCaseCharacter"":-1,""requireLowerCaseCharacter"":-1,""requireDigit"":-1,""requireSpecialCharacter"":-1},""tokenPolicy"":{""accessTokenValidity"":-1,""refreshTokenValidity"":-1,""jwtRevocable"":false,""refreshTokenUnique"":false,""refreshTokenRotate"":false,""refreshTokenFormat"":""opaque"",""jwtTokenTimestamps"":{""default-jwt-key-fb33949b60"":{""creationTimestamp"":1783167474623,""lastModifiedTimestamp"":1783167563079,""expiresAtTimestamp"":1790943474504}},""activeKeyId"":""default-jwt-key-fb33949b60"",""encrypted"":false},""samlConfig"":{""requestSigned"":true,""wantAssertionSigned"":true,""activeKeyId"":""default-saml-key-03773f8b1b"",""keys"":{""default-saml-key-03773f8b1b"":{""key"":""\n"",,""certificate"":""\n""}},""entityID"":""https://8b14fc54trial.authentication.us10.hana.ondemand.com"",""disableInResponseToCheck"":false},""corsPolicy"":{""xhrConfiguration"":{""allowedOrigins"":["".*""],""allowedOriginPatterns"":[],""allowedUris"":["".*""],""allowedUriPatterns"":[],""allowedHeaders"":[""Accept"",""Authorization"",""Content-Type""],""allowedMethods"":[""GET""],""allowedCredentials"":false,""maxAge"":1728000},""defaultConfiguration"":{""allowedOrigins"":["".*""],""allowedOriginPatterns"":[],""allowedUris"":["".*""],""allowedUriPatterns"":[],""allowedHeaders"":[""Accept"",""Authorization"",""Content-Type""],""allowedMethods"":[""GET""],""allowedCredentials"":false,""maxAge"":1728000}},""links"":{""logout"":{""redirectUrl"":""/login"",""redirectParameterName"":""redirect"",""disableRedirectParameter"":false,""whitelist"":null},""selfService"":{""selfServiceLinksEnabled"":false,""signup"":null,""passwd"":null}},""prompts"":[{""name"":""username"",""type"":""text"",""text"":""Email""},{""name"":""password"",""type"":""password"",""text"":""Password""},{""name"":""passcode"",""type"":""password"",""text"":""Temporary Authentication Code (Get on at /passcode)""}],""idpDiscoveryEnabled"":false,""accountChooserEnabled"":false,""userConfig"":{""defaultGroups"":[""openid"",""uaa.user"",""user_attributes""],""maxUsers"":-1,""checkOriginEnabled"":false,""allowOriginLoop"":true},""issuer"":""https://8b14fc54trial.authentication.us10.hana.ondemand.com"",""defaultIdentityProvider"":""sap.default""}","{""clientSecretPolicy"":{""minLength"":-1,""maxLength"":-1,""requireUpperCaseCharacter"":-1,""requireLowerCaseCharacter"":-1,""requireDigit"":-1,""requireSpecialCharacter"":-1},""tokenPolicy"":{""accessTokenValidity"":-1,""refreshTokenValidity"":-1,""jwtRevocable"":false,""refreshTokenUnique"":false,""refreshTokenRotate"":false,""refreshTokenFormat"":""opaque"",""jwtTokenTimestamps"":{""default-jwt-key-fb33949b60"":{""creationTimestamp"":1783167474623,""lastModifiedTimestamp"":1783168038720,""expiresAtTimestamp"":1790943474504}},""activeKeyId"":""default-jwt-key-fb33949b60"",""encrypted"":false},""samlConfig"":{""requestSigned"":true,""wantAssertionSigned"":true,""activeKeyId"":""default-saml-key-03773f8b1b"",""keys"":{""default-saml-key-03773f8b1b"":{""key"":""\n"",,""certificate"":""\n""}},""entityID"":""https://8b14fc54trial.authentication.us10.hana.ondemand.com"",""disableInResponseToCheck"":false},""corsPolicy"":{""xhrConfiguration"":{""allowedOrigins"":["".*""],""allowedOriginPatterns"":[],""allowedUris"":["".*""],""allowedUriPatterns"":[],""allowedHeaders"":[""Accept"",""Authorization"",""Content-Type""],""allowedMethods"":[""GET""],""allowedCredentials"":false,""maxAge"":1728000},""defaultConfiguration"":{""allowedOrigins"":["".*""],""allowedOriginPatterns"":[],""allowedUris"":["".*""],""allowedUriPatterns"":[],""allowedHeaders"":[""Accept"",""Authorization"",""Content-Type""],""allowedMethods"":[""GET""],""allowedCredentials"":false,""maxAge"":1728000}},""links"":{""logout"":{""redirectUrl"":""/login"",""redirectParameterName"":""redirect"",""disableRedirectParameter"":false,""whitelist"":null},""selfService"":{""selfServiceLinksEnabled"":false,""signup"":null,""passwd"":null}},""prompts"":[{""name"":""username"",""type"":""text"",""text"":""Email""},{""name"":""password"",""type"":""password"",""text"":""Password""},{""name"":""passcode"",""type"":""password"",""text"":""Temporary Authentication Code (Get on at /passcode)""}],""idpDiscoveryEnabled"":false,""accountChooserEnabled"":false,""userConfig"":{""defaultGroups"":[""openid"",""uaa.user"",""user_attributes""],""maxUsers"":-1,""checkOriginEnabled"":false,""allowOriginLoop"":true},""issuer"":""https://8b14fc54trial.authentication.us10.hana.ondemand.com"",""defaultIdentityProvider"":""sap.default""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a4e797e-c44c-4d5e-b099-65dfe7677bdd,2026-07-04T12:27:18.853Z,baae3a89-81f6-4b4a-a216-7cbaedcc401c,b47dad21-08b2-41fd-b49e-133635884836,9af3dfd0-664c-42c6-a56f-f8fbd397e040,e899316c-f09d-4fa2-b48d-62b2808b023c,f4b2723d-1383-4dcc-b53a-621a8dcd3737,user/sap.default/basiser@163.com,audit.configuration,,1a4e797e-c44c-4d5e-b099-65dfe7677bdd,user/sap.default/basiser@163.com,2026-07-04T12:27:18.853545Z,386722dc-e734-4454-926e-f37ec5561e57,True,IdentityProvider,,complete,,"{""type"":""oidc1.0"",""config"":{""emailDomain"":null,""additionalConfiguration"":null,""providerDescription"":""Identity Authentication tenant a1au6s3sc.trial-accounts.ondemand.com used for business users"",""externalGroupsWhitelist"":[],""attributeMappings"":{""user.attribute.groups"":""groups"",""user.attribute.remoteEntityId"":""iss"",""user_uuid"":""user_uuid""},""addShadowUserOnLogin"":true,""storeCustomAttributes"":true,""authUrl"":null,""tokenUrl"":null,""tokenKeyUrl"":null,""tokenKey"":null,""userInfoUrl"":null,""logoutUrl"":null,""linkText"":""a1au6s3sc.trial-accounts.ondemand.com"",""showLinkText"":true,""clientAuthInBody"":false,""skipSslValidation"":false,""relyingPartyId"":""f7ff55fe-56ff-41c5-8dc9-72919436fb7e"",""scopes"":[""openid"",""email"",""profile""],""issuer"":""https://a1au6s3sc.trial-accounts.ondemand.com"",""responseType"":""code"",""userPropagationParameter"":null,""pkce"":true,""performRpInitiatedLogout"":true,""cacheJwks"":true,""discoveryUrl"":""https://a1au6s3sc.trial-accounts.ondemand.com/.well-known/openid-configuration"",""passwordGrantEnabled"":true,""setForwardHeader"":true,""tokenExchangeEnabled"":false,""jwtClientAuthentication"":true,""platformIdp"":false,""applicationIdp"":true,""originKeyCfuaa"":null,""defaultIdp"":false,""iasTenant"":{""host"":""a1au6s3sc.trial-accounts.ondemand.com"",""adminUrl"":""https://a1au6s3sc.trial-accounts.ondemand.com/admin/#/applications/58fdcf42-1130-40b3-9e7c-1ee2a9d908b2""},""neoAuthnWithOidc"":false,""idpType"":""SAP IAS""},""id"":""cc685d58-3a71-4cf2-ac45-2aed9da5e4f4"",""originKey"":""sap.custom"",""name"":""a1au6s3sc.trial-accounts.ondemand.com (business users)"",""version"":0,""created"":1783168038840,""last_modified"":1783168038840,""active"":true,""identityZoneId"":""baae3a89-81f6-4b4a-a216-7cbaedcc401c"",""aliasId"":null,""aliasZid"":null}",END,audit.configuration,baae3a89-81f6-4b4a-a216-7cbaedcc401c,CREATE,2026-07-04T12:27:18.853545Z,sap.default,user/sap.default/basiser@163.com,63254781-3075-4d8a-42ec-9b8ba6215857,sap.default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
